Year,Month,Day,Temp
2015,7,3,84
2015,7,4,83
2015,7,4,82
2015,7,4,90
2015,7,4,97
2015,7,4,100
2015,7,4,99
2015,7,4,95
2015,7,4,93
2015,7,5,91
2015,7,5,92
2015,7,5,98
2015,7,5,100
2015,7,5,99
2015,7,5,98
2015,7,5,94
2015,7,6,93
2015,7,6,90
2015,7,6,82
2015,7,6,78
2015,7,6,85
2015,7,6,82
2015,7,6,81
2015,7,6,80
2015,7,7,78
2015,7,7,78
2015,7,7,81
2015,7,7,87
2015,7,7,92
2015,7,7,80
2015,7,7,81
2015,7,7,81
2015,7,8,80
2015,7,8,80
2015,7,8,85
2015,7,8,91
2015,7,8,94
2015,7,8,95
2015,7,8,87
2015,7,8,87
2015,7,9,86
2015,7,9,85
2015,7,9,81
2015,7,9,84
2015,7,9,92
2015,7,9,89
2015,7,9,86
2015,7,9,84
2015,7,10,83
2015,7,10,78
2015,7,10,81
2015,7,10,81
2015,7,10,82
2015,7,10,81
2015,7,10,80
2015,7,10,79
2015,7,11,79
2015,7,11,78
2015,7,11,77
2015,7,11,77
2015,7,11,78
2015,7,11,80
2015,7,11,78
2015,7,11,78
2015,7,12,77
2015,7,12,77
2015,7,12,76
2015,7,12,78
2015,7,12,79
2015,7,12,79
2015,7,12,78
2015,7,12,78
2015,7,13,78
2015,7,13,77
2015,7,13,82
2015,7,13,89
2015,7,13,91
2015,7,13,92
2015,7,13,88
2015,7,13,85
2015,7,14,82
2015,7,14,82
2015,7,14,85
2015,7,14,92
2015,7,14,95
2015,7,14,95
2015,7,14,86
2015,7,14,85
2015,7,15,83
2015,7,15,84
2015,7,15,89
2015,7,15,95
2015,7,15,99
2015,7,15,98
2015,7,15,94
2015,7,15,91
2015,7,16,88
2015,7,16,87
2015,7,16,89
2015,7,16,94
2015,7,16,97
2015,7,16,92
2015,7,16,86
2015,7,16,85
2015,7,17,83
2015,7,17,84
2015,7,17,84
2015,7,17,92
2015,7,17,92
2015,7,17,87
2015,7,17,88
2015,7,17,87
2015,7,18,86
2015,7,18,85
2015,7,18,88
2015,7,18,90
2015,7,18,86
2015,7,18,85
2015,7,18,84
2015,7,18,83
2015,7,19,81
2015,7,19,82
2015,7,19,87
2015,7,19,83
2015,7,19,87
2015,7,19,94
2015,7,19,89
2015,7,19,84
2015,7,20,83
2015,7,20,83
2015,7,20,79
2015,7,20,80
2015,7,20,89
2015,7,20,92
2015,7,20,86
2015,7,20,84
2015,7,21,82
2015,7,21,81
2015,7,21,85
2015,7,21,95
2015,7,21,95
2015,7,21,92
2015,7,21,89
2015,7,21,87
2015,7,22,85
2015,7,22,85
2015,7,22,87
2015,7,22,93
2015,7,22,97
2015,7,22,96
2015,7,22,89
2015,7,22,88
2015,7,23,86
2015,7,23,85
2015,7,23,88
2015,7,23,92
2015,7,23,96
2015,7,23,95
2015,7,23,90
2015,7,23,87
2015,7,24,86
2015,7,24,85
2015,7,24,87
2015,7,24,92
2015,7,24,95
2015,7,24,95
2015,7,24,90
2015,7,24,89
2015,7,25,85
2015,7,25,84
2015,7,25,88
2015,7,25,94
2015,7,25,97
2015,7,25,78
2015,7,25,83
2015,7,25,84
2015,7,26,83
2015,7,26,82
2015,7,26,86
2015,7,26,92
2015,7,26,91
2015,7,26,88
2015,7,26,84
2015,7,26,83
2015,7,27,81
2015,7,27,79
2015,7,27,83
2015,7,27,91
2015,7,27,94
2015,7,27,90
2015,7,27,83
2015,7,27,82
2015,7,28,81
2015,7,28,79
2015,7,28,81
2015,7,28,88
2015,7,28,91
2015,7,28,91
2015,7,28,88
2015,7,28,83
2015,7,29,80
2015,7,29,79
2015,7,29,82
2015,7,29,86
2015,7,29,86
2015,7,29,86
2015,7,29,85
2015,7,29,83
2015,7,30,81
2015,7,30,81
2015,7,30,83
2015,7,30,87
2015,7,30,88
2015,7,30,86
2015,7,30,85
2015,7,30,83
2015,7,31,81
2015,7,31,80
2015,7,31,82
2015,7,31,86
2015,7,31,87
2015,7,31,88
2015,7,31,86
2015,7,31,83
2015,8,1,82
2015,8,1,81
2015,8,1,83
2015,8,1,87
2015,8,1,90
2015,8,1,88
2015,8,1,81
2015,8,1,78
2015,8,2,78
2015,8,2,80
2015,8,2,84
2015,8,2,88
2015,8,2,92
2015,8,2,88
2015,8,2,86
2015,8,2,84
2015,8,3,82
2015,8,3,81
2015,8,3,84
2015,8,3,93
2015,8,3,96
2015,8,3,96
2015,8,3,90
2015,8,3,86
2015,8,4,85
2015,8,4,83
2015,8,4,85
2015,8,4,97
2015,8,4,96
2015,8,4,90
2015,8,4,84
2015,8,5,83
2015,8,5,83
2015,8,5,86
2015,8,5,90
2015,8,5,94
2015,8,5,83
2015,8,5,83
2015,8,5,83
2015,8,6,83
2015,8,6,81
2015,8,6,85
2015,8,6,92
2015,8,6,87
2015,8,6,89
2015,8,6,85
2015,8,6,84
2015,8,7,82
2015,8,7,82
